product_id,Name,product_price,color,details
TS011,Georgette Saree,1742,Pink/White,"Premium georgette fabric, perfect for festivals."
TS012,Soft Silk Saree,3105,White/Yellow,"Modern soft silk fabric, perfect for gifts."
TS013,Block Print Saree,625,Silver/Gold,"Classic block print fabric, perfect for weddings."
TS014,Linen Saree,1884,White/Purple,"Classic linen fabric, perfect for casual outings."
TS015,Jamdani Saree,11635,Cream/Blue,"Lightweight jamdani fabric, perfect for daily use."
TS016,Handloom Tat Saree,804,Orange/Magenta,"Gorgeous handloom tat fabric, perfect for cultural events."
TS017,Batik Print Saree,1275,Silver/Cream,"Soft batik print fabric, perfect for festivals."
TS018,Soft Silk Saree,4146,Blue,"Traditional soft silk fabric, perfect for summer."
TS019,Linen Saree,1909,Green,"Classic linen fabric, perfect for summer."
TS020,Georgette Saree,1450,Orange,"Traditional georgette fabric, perfect for daily use."
TS021,Handloom Tat Saree,1214,Pink,"Soft handloom tat fabric, perfect for office wear."
TS022,Katan Saree,5799,Pink,"Lightweight katan fabric, perfect for gifts."
TS023,Block Print Saree,1436,Blue/Black,"Gorgeous block print fabric, perfect for office wear."
TS024,Handloom Tat Saree,1645,Teal,"Lightweight handloom tat fabric, perfect for festivals."
TS025,Katan Saree,5868,Maroon,"Comfortable katan fabric, perfect for daily use."
TS026,Handloom Tat Saree,610,Maroon,"Elegant handloom tat fabric, perfect for festivals."
TS027,Batik Print Saree,1980,Maroon,"Comfortable batik print fabric, perfect for cultural events."
TS028,Handloom Tat Saree,1484,Cream,"Modern handloom tat fabric, perfect for daily use."
TS029,Jamdani Saree,8814,Silver,"Classic jamdani fabric, perfect for casual outings."
TS030,Tangail Cotton Saree,1595,Purple,"Modern tangail cotton fabric, perfect for weddings."
TS031,Soft Silk Saree,3940,Green/Orange,"Premium soft silk fabric, perfect for daily use."
TS032,Half Silk Saree,2970,Green/Black,"Traditional half silk fabric, perfect for cultural events."
TS033,Katan Saree,4552,Magenta,"Elegant katan fabric, perfect for party wear."
TS034,Tangail Cotton Saree,1800,Silver/Blue,"Comfortable tangail cotton fabric, perfect for winter."
TS035,Linen Saree,1760,Blue,"Lightweight linen fabric, perfect for festivals."
TS036,Tangail Cotton Saree,908,Orange,"Modern tangail cotton fabric, perfect for gifts."
TS037,Georgette Saree,1855,Red,"Premium georgette fabric, perfect for casual outings."
TS038,Half Silk Saree,2660,Blue,"Premium half silk fabric, perfect for office wear."
TS039,Linen Saree,1834,Teal,"Elegant linen fabric, perfect for winter."
TS040,Katan Saree,9761,Blue,"Soft katan fabric, perfect for party wear."
TS041,Soft Silk Saree,3140,Green,"Modern soft silk fabric, perfect for daily use."
TS042,Katan Saree,11431,Gold,"Traditional katan fabric, perfect for party wear."
TS043,Block Print Saree,1077,Black,"Gorgeous block print fabric, perfect for office wear."
TS044,Katan Saree,8627,Silver,"Modern katan fabric, perfect for party wear."
TS045,Linen Saree,1618,Pink/Teal,"Modern linen fabric, perfect for gifts."
TS046,Batik Print Saree,1059,Black,"Traditional batik print fabric, perfect for summer."
TS047,Half Silk Saree,3933,Gold,"Soft half silk fabric, perfect for office wear."
TS048,Block Print Saree,792,Silver,"Traditional block print fabric, perfect for festivals."
TS049,Georgette Saree,937,Gold,"Elegant georgette fabric, perfect for office wear."
TS050,Soft Silk Saree,3575,Green,"Classic soft silk fabric, perfect for office wear."
TS051,Katan Saree,7481,Green,"Modern katan fabric, perfect for party wear."
TS052,Half Silk Saree,2339,White,"Soft half silk fabric, perfect for festivals."
TS053,Jamdani Saree,10769,Green/Orange,"Classic jamdani fabric, perfect for festivals."
TS054,Tangail Cotton Saree,1930,Black,"Lightweight tangail cotton fabric, perfect for daily use."
TS055,Jamdani Saree,10197,Pink,"Stylish jamdani fabric, perfect for daily use."
TS056,Georgette Saree,636,Black,"Elegant georgette fabric, perfect for winter."
TS057,Batik Print Saree,615,White/Red,"Lightweight batik print fabric, perfect for cultural events."
TS058,Linen Saree,1443,Pink,"Elegant linen fabric, perfect for festivals."
TS059,Batik Print Saree,1674,Teal/Green,"Elegant batik print fabric, perfect for cultural events."
TS060,Block Print Saree,747,Gold/Green,"Classic block print fabric, perfect for winter."
